McLocalizer fixing commit,Fixing commit,Pure fixing commit,Java class bug scope,Bug tracker,Notes
b8cbc9c6aae5c9ba8fbb9974008490d6b9b56cbd,1,1,com.google.javascript.jscomp.TypedScopeCreator,,
02dd5f62ac04882975cfb13de8618887d1bdf75e,1,1,com.google.javascript.jscomp.NTIScope ,,
03fb30b7edcf9541e70c56c5424afc9fd826efa4,1,1,com.google.javascript.jscomp.CheckJSDoc ,https://github.com/google/closure-compiler/issues/1126,
455ee2ba9c638954e8af58320b7ecb52fd969b3d,1,1,com.google.javascript.jscomp.NewTypeInference; com.google.javascript.jscomp.newtypes.JSType ,,
5b9fa7febda6a77a2db30a8e5d81967858f9dd56,1,1,com.google.javascript.jscomp.OptimizeParameters,,
306543734d4d02925a10ad1c68daa69c4f4ea630,1,1,com.google.javascript.jscomp.parsing.ParserRunner; com.google.javascript.jscomp.parsing.parser.FeatureSet; com.google.javascript.jscomp.parsing.parser.Parser ,https://github.com/google/closure-compiler/issues/2552,
f7bae0d11495f12ab2f9d7ddc1c3508219ec109a,1,1,com.google.javascript.jscomp.AliasStrings,,
6abb76d01b678e4df62a5a79f773747bf5c3bf2a,1,1,com.google.javascript.jscomp.StatementFusion,,
bd9c7b620384fe5a98772729001ed56304459bc6,1,0,,,Fix+Other
d5501d9945b0bd222b279dd1a9a98fcb1d6f9c70,1,0,,,Rollback
9cfa692f71edd187e8b5167c06cc54c51e95323a,1,1,com.google.javascript.jscomp.AbstractScope; com.google.javascript.jscomp.NodeUtil; com.google.javascript.jscomp.PureFunctionIdentifier ,,
0750653dfc4b0e05e0ea375f9a11246c087baf0c,1,1,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,,
6d38965a1e0a3a61435b9bebc91ff1ba0a64013a,1,1,com.google.javascript.jscomp.TypeInference; com.google.javascript.jscomp.TypedScopeCreator; com.google.javascript.rhino.Node ,https://github.com/google/closure-compiler/issues/1023,
508e3c2338c65a98b4a372e26bd45d2ee47c5f89,1,1,com.google.javascript.jscomp.LintPassConfig; com.google.javascript.jscomp.Linter; com.google.javascript.refactoring.ErrorToFixMapper,,
cbf615304f21c433b4174f9b395b6513edd1f5b9,0,0,,,Feature
f9c107635f118bc67c6a0532302a37eca150f2c9,0,0,,,Rollback
b48f332e61de5365ccc76ee2127a77bf808d7eff,1,0,,http://github.com/google/closure-compiler/issues/2954,Fix+Other
efefb736fccc2039b5fb079710b3f2ac82b8c6e4,1,1,com.google.javascript.rhino.jstype.NamedType; com.google.javascript.rhino.jstype.ObjectType ,873,
0a709d3467bc5513cf1650339994d90f7f1ac891,1,1,com.google.javascript.jscomp.SymbolTable,,
5588adc1eda85ad078b700f7f2e3b64e7d793620,1,0,,https://github.com/google/closure-compiler/issues/834,Fix+Other
3d2e6feab2bdaa8759c7d19fc31f4e589ef0d579,1,1,com.google.javascript.jscomp.PeepholeCollectPropertyAssignments,,
48983195c3c1639b276f1d6279e790aa18bb5e66,1,1,com.google.javascript.jscomp.DefaultPassConfig,,Comment Fix
d90e6ffb441ffa028313a9fffb7666eab8c62793,1,1,com.google.javascript.rhino.jstype.ProxyObjectType,,
91dbb31cbf778c44b65c664e7f63ffcc9b6418c5,0,0,,,Feature
cfe27a7f9d8c8016f8710351b49418907cf26823,1,1,com.google.javascript.jscomp.Compiler,,
66527dd399f7142edc491037b4488b158073ae55,1,1,com.google.javascript.jscomp.AbstractPeepholeOptimization; com.google.javascript.jscomp.PeepholeFoldConstants; com.google.javascript.jscomp.PeepholeOptimizationsPass; com.google.javascript.jscomp.PeepholeRemoveDeadCode;,,
9cad29bba472becff9b5450fc336feb96fe36d66,0,0,,,Refactor
cfb86dc6888524c4c02d2bc5f07a2ee8c8fdc5e0,1,0,,,Fix+Other
d728e389df6eaac1db02e61746394260fea376bd,1,1,com.google.javascript.jscomp.CompilationLevel; com.google.javascript.jscomp.CompilerOptions,,
d98f48f1981623aac423b991b1c8c988aba83070,1,1,com.google.javascript.jscomp.ReferenceCollectingCallback,,
be7c3f2f02e3eb2ad0153ebdff8b8d4fbafa8567,1,1,com.google.javascript.jscomp.CheckPathsBetweenNodes,,
7db0af381b096a916351b5bb3570154b03b5cc77,1,1,com.google.javascript.jscomp.TypedScopeCreator,,
ffe07f8c307c6b421cead64229eddb3602369f44,1,0,,,Fix+Other
5a1ffbe7af5c4d299791b6eeffa99cff8ebeb8d6,1,1,com.google.javascript.jscomp.ant.CompileTask,1217,
48aea0ff7d027507362007415963a4b662fb10a7,1,1,com.google.javascript.jscomp.CodeGenerator,486,
03cde058557e085667294b00b306c37ab83eabf7,1,0,,,Rollforward
e609670bb56e0c7216c9476a5f6a5594e7f1acdb,1,0,,https://github.com/google/closure-compiler/issues/19,
0f2afb67e0cbc463ae7aebb1f41c8aa71014d68b,1,1,com.google.javascript.jscomp.Es6TypedToEs6Converter; com.google.javascript.jscomp.NodeUtil,,
bc3e3a494c406098064ee63487f9bfafcf3354f3,1,1,com.google.javascript.jscomp.FlowSensitiveInlineVariables; com.google.javascript.jscomp.MustBeReachingVariableDef,777,
58e890f83449063f93c141ab830692e730ca37ee,1,1,com.google.javascript.rhino.JSTypeExpression,,
c2cae4041b456d68112640ecca306309d549f6db,1,1,com.google.javascript.rhino.jstype.ProxyObjectType,,
f0e3cbc250fd9536ff92119bdf5e1a62120a7fac,1,1,com.google.javascript.jscomp.CodeGenerator,,
2a2e7a25c30bdbff7c47fce9c30bf68d748dffeb,1,1,com.google.javascript.jscomp.CheckAccessControls,,
f42e3e4ac6273bf9f25392b34de24672e5d56883,1,0,,,Rollback
b6587e0b5c0b9c69a8eeca8347229cd356643ab9,1,1,com.google.javascript.jscomp.serialization.TypedAstDeserializer; com.google.javascript.jscomp.serialization.TypedAstSerializer,,
2d0aac92183a4b6bac01d67cfe0114ab96bd908c,1,1,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,3424764,
7024b68120613b54bc78b18e7e3d90050f3c0e55,1,1,com.google.javascript.jscomp.ClosureRewriteModule,,
d34e8be041cb7fbdfa1f45f663de15396e3ce13a,1,1,com.google.javascript.jscomp.ant.CompileTask,567,
b908a46db6ca7cfde4569adf4133f63959aead87,0,0,,,Feature
572987703098023a5fc1a15f2a75b83c50e986db,1,1,com.google.javascript.jscomp.ConvertToDottedProperties,https://github.com/google/closure-compiler/issues/3891,
09dd7e384177bf28c0d9faaff27836b3209efee9,1,1,com.google.javascript.jscomp.FindExportableNodes,,
e045f64a90ef082d1c6b74a417164334b1a94b10,1,1,com.google.javascript.jscomp.DiagnosticGroups,,Comment Fix
536898016d1c3ea1fc13e6ddc44b9aac01c98650,1,1,com.google.javascript.jscomp.GlobalTypeInfo; com.google.javascript.jscomp.newtypes.Property; com.google.javascript.jscomp.newtypes.RawNominalType,https://github.com/google/closure-compiler/issues/1725,
c0face2a48665e46f4829f54ee24cfa4cf8d4589,1,0,,,Fix+Other
58e612c4cd6a7d39ce5c3b1dd54d72af361e4943,1,1,com.google.javascript.jscomp.DefaultPassConfig,https://github.com/google/closure-compiler/issues/2122,
8c3268cd71afe9a222ab6b3ee4dda6ca9e70e1bb,1,1,com.google.javascript.jscomp.TypeCheck,,
39093ab5c9f88dc17a52b57a2d05f4ee60ad7580,1,1,com.google.javascript.jscomp.FunctionTypeBuilder; com.google.javascript.rhino.jstype.JSTypeRegistry,,
6a402120a11829b98fc1c5039be0dcb0bcf7a6a7,1,1,com.google.javascript.jscomp.Es6RewriteDestructuring; com.google.javascript.jscomp.Es6RewriteGenerators; com.google.javascript.jscomp.Es6ToEs3Converter,https://github.com/google/closure-compiler/issues/1303,
d8b611311358d431affd8a3ef03650bb3ebfaf57,1,1,com.google.javascript.jscomp.CheckClosureImports; com.google.javascript.jscomp.RewriteClosureImports,,
62d5114975373fb0b70d23eba70288d8ada4aa20,1,0,,,Fix+Other
cb88c48427ac126a0eb480b36fa2698d5b90821f,1,0,,,Rollforward
646a50188300dedfb8a8022adc2681ac846e44be,1,0,,,Fix+Other
227625182a4754c01565b4a6ca469f9c9daec42a,1,1,com.google.javascript.jscomp.Compiler; com.google.javascript.jscomp.DartSuperAccessorsPass,,
d8cfecf696919c717bff63b65a8758957c4868b0,1,1,com.google.javascript.jscomp.GlobalTypeInfo; com.google.javascript.jscomp.NewTypeInference; com.google.javascript.jscomp.newtypes.JSType; com.google.javascript.jscomp.newtypes.JSTypeCreatorFromJSDoc,,
7f6700e2b54af3af409f3e8851a0d98a72beef4b,1,1,com.google.javascript.rhino.TokenStream,921,
514ebffc40b0f66528199112457e2aa22f8c46db,1,1,com.google.javascript.jscomp.CodeGenerator,,
8a1cb362aa9c37b014754d118ebc385e2eb1359e,1,1,com.google.javascript.jscomp.parsing.parser.Parser,,
24eeec5031478b1f6177bfa3768112232b5e0114,1,0,,,Rollforward
cd556c28b834183d23b7383deef42e3db8c9a379,1,0,,https://github.com/google/closure-compiler/issues/3175,Fix+Other
df0eed65546f07b1c2913dbab3e48873e93631a6,1,1,com.google.javascript.jscomp.InferJSDocInfo,,
ce3d3a25ce64d15e967cdc9e191072071872e8c7,1,1,com.google.javascript.jscomp.Es6RewriteClass; com.google.javascript.rhino.Node,,
5fde503a0846406893ebdfdc04388875ea423d81,1,1,com.google.javascript.jscomp.NodeIterators,,
e6f55d83739cc394b2a3561ba2f24ff86d3e9c42,1,1,com.google.javascript.jscomp.parsing.ParserRunner; com.google.javascript.jscomp.parsing.parser.FeatureSet; com.google.javascript.jscomp.parsing.parser.Parser ,https://github.com/google/closure-compiler/issues/2552,
b7d811963623aa80cb67ac1f84fa53c545f86816,1,1,com.google.javascript.jscomp.ant.CompileTask,https://github.com/google/closure-compiler/issues/566,
d2c1957848f8a77194335eb9d3d587470c2c51f2,1,0,,https://github.com/google/closure-compiler/pull/1619,
