Commit hash,Changed targets
0b7eccf2fd3a9293d7b513fbb766d7bc06abd7e0,com.google.javascript.jscomp.ClosureCodingConvention; com.google.javascript.jscomp.CoalesceVariableNames; com.google.javascript.jscomp.CodingConvention; com.google.javascript.jscomp.CompilationLevel; com.google.javascript.jscomp.Compiler; com.google.javascript.jscomp.CompilerOptions; com.google.javascript.jscomp.CompilerRunner; com.google.javascript.jscomp.DefaultCodingConvention; com.google.javascript.jscomp.DefaultPassConfig; com.google.javascript.jscomp.FoldConstants; com.google.javascript.jscomp.FunctionInjector; com.google.javascript.jscomp.GoogleCodingConvention; com.google.javascript.jscomp.InlineVariables; com.google.javascript.jscomp.NodeTraversal; com.google.javascript.jscomp.NodeUtil; com.google.javascript.jscomp.ProcessClosurePrimitives; com.google.javascript.jscomp.ReferenceCollectingCallback; com.google.javascript.jscomp.RenameVars; com.google.javascript.jscomp.ShowByPathWarningsGuard; com.google.javascript.jscomp.SourceFile; com.google.javascript.jscomp.TypedCodeGenerator; com.google.javascript.jscomp.TypedScopeCreator; com.google.javascript.jscomp.VarCheck; com.google.javascript.jscomp.WarningLevel; com.google.javascript.rhino.JSDocInfoBuilder
78995bf9e88599055a8c4165d89c09dc92a44b30,com.google.javascript.jscomp.AbstractCompilerRunner; com.google.javascript.jscomp.CollapseProperties; com.google.javascript.jscomp.ExpressionDecomposer; com.google.javascript.jscomp.FunctionArgumentInjector; com.google.javascript.jscomp.InlineVariables; com.google.javascript.jscomp.NodeIterators; com.google.javascript.jscomp.NodeUtil; com.google.javascript.jscomp.Normalize; com.google.javascript.jscomp.ReferenceCollectingCallback; com.google.javascript.jscomp.Scope; com.google.javascript.jscomp.VarCheck; com.google.javascript.jscomp.VariableReferenceCheck
6a36f04485599820ff86441accee002b4deec2eb,com.google.javascript.jscomp.CodingConvention; com.google.javascript.jscomp.CodingConventionAnnotator; com.google.javascript.jscomp.DefaultCodingConvention; com.google.javascript.jscomp.FunctionTypeBuilder; com.google.javascript.jscomp.GoogleCodingConvention; com.google.javascript.jscomp.Normalize; com.google.javascript.jscomp.ProcessClosurePrimitives
e609670bb56e0c7216c9476a5f6a5594e7f1acdb,com.google.javascript.jscomp.GlobalNamespace; com.google.javascript.rhino.JSDocInfoBuilder
2acd6c1986e36bfdbae85c09eb83ac1940b86c73,com.google.javascript.jscomp.AbstractCompilerRunner; com.google.javascript.jscomp.CollapseProperties; com.google.javascript.jscomp.CompilerOptions; com.google.javascript.jscomp.DefaultPassConfig; com.google.javascript.jscomp.FoldConstants; com.google.javascript.jscomp.InlineFunctions; com.google.javascript.jscomp.Normalize; com.google.javascript.jscomp.parsing.JsDocInfoParser; com.google.javascript.rhino.JSTypeExpression
ffe07f8c307c6b421cead64229eddb3602369f44,com.google.javascript.jscomp.AbstractCompilerRunner; com.google.javascript.jscomp.CompilerRunner; com.google.javascript.jscomp.JSModuleGraph; com.google.javascript.jscomp.MustBeReachingVariableDef; com.google.javascript.jscomp.VarCheck
a478193982ce1fb9271e3f7ebcc1369913c9a859,com.google.javascript.jscomp.CompilationLevel; com.google.javascript.jscomp.Compiler; com.google.javascript.jscomp.CompilerOptions; com.google.javascript.jscomp.ConcreteType; com.google.javascript.jscomp.OptimizeArgumentsArray; com.google.javascript.jscomp.RenameVars; com.google.javascript.jscomp.parsing.JsDocInfoParser; com.google.javascript.rhino.JSDocInfo; com.google.javascript.rhino.JSDocInfoBuilder; com.google.javascript.rhino.jstype.JSTypeRegistry
3924ff1e4a236d68a0b5448d185537d90ca04419,com.google.javascript.jscomp.AbstractCompiler; com.google.javascript.jscomp.Compiler; com.google.javascript.jscomp.ControlStructureCheck; com.google.javascript.jscomp.DefaultPassConfig; com.google.javascript.jscomp.JsAst; com.google.javascript.jscomp.PassConfig; com.google.javascript.jscomp.TightenTypes
e578606c74bd8a24d0cabcb64f9ea1e950003af1,com.google.javascript.jscomp.NodeUtil; com.google.javascript.jscomp.SemanticReverseAbstractInterpreter
845f5ff65858fd0d1829f3d2f16f758725e8028f,com.google.javascript.jscomp.AbstractCompilerRunner; com.google.javascript.jscomp.Compiler; com.google.javascript.jscomp.ControlStructureCheck; com.google.javascript.jscomp.DiagnosticGroups; com.google.javascript.jscomp.FoldConstants; com.google.javascript.jscomp.InferJSDocInfo; com.google.javascript.jscomp.SanityCheck; com.google.javascript.jscomp.SymbolTable; com.google.javascript.rhino.jstype.EnumElementType; com.google.javascript.rhino.jstype.InstanceObjectType; com.google.javascript.rhino.jstype.JSType; com.google.javascript.rhino.jstype.NamedType; com.google.javascript.rhino.jstype.ProxyObjectType
168bc14ff5e9e664863c3b1146f2a5b7a30ffb42,com.google.javascript.jscomp.ClosureCodingConvention; com.google.javascript.jscomp.CodeGenerator; com.google.javascript.jscomp.CodePrinter; com.google.javascript.jscomp.Compiler; com.google.javascript.jscomp.CompilerOptions; com.google.javascript.jscomp.CompilerRunner; com.google.javascript.jscomp.DefaultPassConfig; com.google.javascript.jscomp.GatherRawExports; com.google.javascript.jscomp.JsAst; com.google.javascript.jscomp.Normalize; com.google.javascript.jscomp.TypedCodeGenerator; com.google.javascript.jscomp.parsing.JsDocInfoParser; com.google.javascript.rhino.jstype.AllType
06377401a3b08af2cc75c10e603b3ded983aaf8c,com.google.javascript.jscomp.CoalesceVariableNames; com.google.javascript.jscomp.DefaultPassConfig; com.google.javascript.jscomp.FoldConstants
d964d232de65db2370c06ce04de9865a3b2c8c9f,com.google.javascript.jscomp.NodeUtil; com.google.javascript.jscomp.SanityCheck; com.google.javascript.jscomp.SymbolTable; com.google.javascript.jscomp.TypeValidator; com.google.javascript.jscomp.UnreachableCodeElimination; com.google.javascript.rhino.Node
