Target,Commit count
com.google.javascript.jscomp.NodeUtil,170
com.google.javascript.jscomp.DefaultPassConfig,127
com.google.javascript.jscomp.Compiler,111
com.google.javascript.jscomp.TypedScopeCreator,108
com.google.javascript.jscomp.NewTypeInference,93
com.google.javascript.jscomp.TypeInference,84
com.google.javascript.rhino.Node,83
com.google.javascript.jscomp.CodeGenerator,77
com.google.javascript.jscomp.TypeCheck,76
com.google.javascript.jscomp.CommandLineRunner,72
com.google.javascript.rhino.jstype.JSType,65
com.google.javascript.jscomp.parsing.IRFactory,65
com.google.javascript.jscomp.GlobalTypeInfo,65
com.google.javascript.jscomp.DiagnosticGroups,61
com.google.javascript.jscomp.CompilerOptions,60
com.google.javascript.rhino.jstype.FunctionType,59
com.google.javascript.jscomp.parsing.parser.Parser,59
com.google.javascript.jscomp.AbstractCommandLineRunner,58
com.google.javascript.rhino.jstype.JSTypeRegistry,54
com.google.javascript.jscomp.newtypes.ObjectType,52
com.google.javascript.jscomp.parsing.JsDocInfoParser,46
com.google.javascript.jscomp.newtypes.JSType,46
com.google.javascript.jscomp.GlobalNamespace,44
com.google.javascript.jscomp.PeepholeFoldConstants,44
com.google.javascript.jscomp.AstValidator,43
com.google.javascript.jscomp.ProcessClosurePrimitives,41
com.google.javascript.jscomp.VarCheck,39
com.google.javascript.jscomp.Normalize,39
com.google.javascript.jscomp.ant.CompileTask,39
com.google.javascript.refactoring.ErrorToFixMapper,38
com.google.javascript.jscomp.Es6ToEs3Converter,35
com.google.javascript.jscomp.CollapseProperties,34
com.google.javascript.jscomp.newtypes.FunctionType,34
com.google.javascript.jscomp.ClosureRewriteModule,34
com.google.javascript.jscomp.FunctionTypeBuilder,33
com.google.javascript.jscomp.ScopedAliases,32
com.google.javascript.rhino.jstype.UnionType,31
com.google.javascript.refactoring.SuggestedFix,31
com.google.javascript.rhino.jstype.ObjectType,30
com.google.javascript.jscomp.CheckAccessControls,30
com.google.javascript.jscomp.newtypes.NominalType,30
com.google.javascript.jscomp.NodeTraversal,29
com.google.javascript.jscomp.AbstractCompiler,29
com.google.javascript.jscomp.RemoveUnusedVars,29
com.google.javascript.jscomp.SymbolTable,28
com.google.javascript.jscomp.TypeValidator,28
com.google.javascript.jscomp.parsing.NewIRFactory,28
com.google.javascript.jscomp.ReferenceCollectingCallback,27
com.google.javascript.jscomp.InlineFunctions,27
com.google.javascript.rhino.jstype.PrototypeObjectType,27
com.google.javascript.jscomp.PeepholeRemoveDeadCode,27
com.google.javascript.jscomp.Es6RewriteBlockScopedDeclaration,27
com.google.javascript.jscomp.DisambiguateProperties,26
com.google.javascript.rhino.jstype.ProxyObjectType,25
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,25
com.google.javascript.jscomp.newtypes.JSTypeCreatorFromJSDoc,24
com.google.javascript.jscomp.NameAnalyzer,23
com.google.javascript.jscomp.ProcessCommonJSModules,23
com.google.javascript.jscomp.TranspilationPasses,23
com.google.javascript.jscomp.ExpressionDecomposer,22
com.google.javascript.rhino.jstype.NamedType,22
