Defects4j commit hash,Found by McLocalizer,Defects4J bug scope,McLocalizer bug scope,Bug scope precision,Bug scope recall
1dfad5043a207e032a78ef50c3cba50488bcd300,1,com.google.javascript.jscomp.RemoveUnusedVars,com.google.javascript.jscomp.RemoveUnusedVars,1.0,1.0
d1cfe67977d8f3aaa85ec20c262171da394d5977,1,com.google.javascript.jscomp.TypeCheck,com.google.javascript.jscomp.TypeCheck,1.0,1.0
d80fcc04239ab8c4cf781273c4f9bc54cf06f479,1,com.google.javascript.jscomp.FlowSensitiveInlineVariables,com.google.javascript.jscomp.FlowSensitiveInlineVariables,1.0,1.0
efefb736fccc2039b5fb079710b3f2ac82b8c6e4,1,com.google.javascript.rhino.jstype.NamedType,com.google.javascript.rhino.jstype.NamedType; com.google.javascript.rhino.jstype.ObjectType,0.5,1.0
59eec92e364b2ec2cec9dd63449f5c0134983f18,1,com.google.javascript.jscomp.InlineObjectLiterals,com.google.javascript.jscomp.InlineObjectLiterals,1.0,1.0
9f7a353385bf0b93cdaeaa56cc5b1450db790127,1,com.google.javascript.jscomp.TypeValidator,com.google.javascript.jscomp.TypeValidator; com.google.javascript.rhino.jstype.FunctionType,0.5,1.0
e736b1c92981fafdc87f3f41f66918305f173734,1,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter,1.0,1.0
6300a43566d4adcf8828128267808a8740edc835,1,com.google.javascript.jscomp.CollapseVariableDeclarations,com.google.javascript.jscomp.CollapseVariableDeclarations,1.0,1.0
e9c15465c000c19ef4e0b8f68a680589ae4111d7,1,com.google.javascript.jscomp.ProcessCommonJSModules,com.google.javascript.jscomp.ProcessCommonJSModules,1.0,1.0
0884a4cbef1c82153ef306477a12af0480385a35,1,com.google.javascript.jscomp.NodeUtil,com.google.javascript.jscomp.NodeUtil,1.0,1.0
482b767639e6eec7c30d8898851560c41b66d885,1,com.google.javascript.jscomp.TypeCheck,com.google.javascript.jscomp.TypeCheck,1.0,1.0
d06ac163013a3779fcec7c2f544ba99d08f69f58,1,com.google.javascript.jscomp.MaybeReachingVariableUse,com.google.javascript.jscomp.MaybeReachingVariableUse,1.0,1.0
d6d733f461ee5ba26e9326c1c7609f1f00d6d2db,1,com.google.javascript.jscomp.PeepholeOptimizationsPass,com.google.javascript.jscomp.PeepholeOptimizationsPass,1.0,1.0
