McLocalizer commit hash,Manual bug scope,McLocalizer bug scope,Bug scope precision,Bug scope recall
b8cbc9c6aae5c9ba8fbb9974008490d6b9b56cbd,com.google.javascript.jscomp.TypedScopeCreator,com.google.javascript.jscomp.TypedScopeCreator,1.0,1.0
02dd5f62ac04882975cfb13de8618887d1bdf75e,com.google.javascript.jscomp.NTIScope,com.google.javascript.jscomp.NTIScope,1.0,1.0
03fb30b7edcf9541e70c56c5424afc9fd826efa4,com.google.javascript.jscomp.CheckJSDoc,com.google.javascript.jscomp.CheckJSDoc,1.0,1.0
455ee2ba9c638954e8af58320b7ecb52fd969b3d,com.google.javascript.jscomp.NewTypeInference; com.google.javascript.jscomp.newtypes.JSType,com.google.javascript.jscomp.NewTypeInference; com.google.javascript.jscomp.newtypes.JSType,1.0,1.0
5b9fa7febda6a77a2db30a8e5d81967858f9dd56,com.google.javascript.jscomp.OptimizeParameters,com.google.javascript.jscomp.OptimizeParameters,1.0,1.0
306543734d4d02925a10ad1c68daa69c4f4ea630,com.google.javascript.jscomp.parsing.ParserRunner; com.google.javascript.jscomp.parsing.parser.FeatureSet; com.google.javascript.jscomp.parsing.parser.Parser,com.google.javascript.jscomp.parsing.ParserRunner; com.google.javascript.jscomp.parsing.parser.FeatureSet; com.google.javascript.jscomp.parsing.parser.Parser,1.0,1.0
f7bae0d11495f12ab2f9d7ddc1c3508219ec109a,com.google.javascript.jscomp.AliasStrings,com.google.javascript.jscomp.AliasStrings,1.0,1.0
6abb76d01b678e4df62a5a79f773747bf5c3bf2a,com.google.javascript.jscomp.StatementFusion,com.google.javascript.jscomp.StatementFusion,1.0,1.0
9cfa692f71edd187e8b5167c06cc54c51e95323a,com.google.javascript.jscomp.AbstractScope; com.google.javascript.jscomp.NodeUtil; com.google.javascript.jscomp.PureFunctionIdentifier,com.google.javascript.jscomp.AbstractScope; com.google.javascript.jscomp.NodeUtil; com.google.javascript.jscomp.PureFunctionIdentifier,1.0,1.0
0750653dfc4b0e05e0ea375f9a11246c087baf0c,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,1.0,1.0
6d38965a1e0a3a61435b9bebc91ff1ba0a64013a,com.google.javascript.jscomp.TypeInference; com.google.javascript.jscomp.TypedScopeCreator; com.google.javascript.rhino.Node,com.google.javascript.jscomp.TypeInference; com.google.javascript.jscomp.TypedScopeCreator; com.google.javascript.rhino.Node,1.0,1.0
508e3c2338c65a98b4a372e26bd45d2ee47c5f89,com.google.javascript.jscomp.LintPassConfig; com.google.javascript.jscomp.Linter; com.google.javascript.refactoring.ErrorToFixMapper,com.google.javascript.jscomp.LintPassConfig; com.google.javascript.jscomp.Linter; com.google.javascript.refactoring.ErrorToFixMapper,1.0,1.0
efefb736fccc2039b5fb079710b3f2ac82b8c6e4,com.google.javascript.rhino.jstype.NamedType; com.google.javascript.rhino.jstype.ObjectType,com.google.javascript.rhino.jstype.NamedType; com.google.javascript.rhino.jstype.ObjectType,1.0,1.0
0a709d3467bc5513cf1650339994d90f7f1ac891,com.google.javascript.jscomp.SymbolTable,com.google.javascript.jscomp.SymbolTable,1.0,1.0
3d2e6feab2bdaa8759c7d19fc31f4e589ef0d579,com.google.javascript.jscomp.PeepholeCollectPropertyAssignments,com.google.javascript.jscomp.PeepholeCollectPropertyAssignments,1.0,1.0
48983195c3c1639b276f1d6279e790aa18bb5e66,com.google.javascript.jscomp.DefaultPassConfig,com.google.javascript.jscomp.DefaultPassConfig,1.0,1.0
d90e6ffb441ffa028313a9fffb7666eab8c62793,com.google.javascript.rhino.jstype.ProxyObjectType,com.google.javascript.rhino.jstype.ProxyObjectType,1.0,1.0
cfe27a7f9d8c8016f8710351b49418907cf26823,com.google.javascript.jscomp.Compiler,com.google.javascript.jscomp.Compiler,1.0,1.0
